House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
5,Chelmsford Drives,Elliott,Burgess,51,Husband,Married,Male,Fashion designer,None,None
5,Chelmsford Drives,Guy,Burgess,17,Son,NA,Male,Student,None,NA
6,Chelmsford Drives,Rosemary,Parker,31,Head,Divorced,Female,Geoscientist,None,None
6,Chelmsford Drives,Jasmine,Brown,49,None,Single,Female,"Conservation officer, historic buildings",None,None
6,Chelmsford Drives,Joanne,Barker,20,None,Single,Female,Heritage manager,None,None
6,Chelmsford Drives,Jordan,Hussain,20,None,Single,Male,University Student,None,Methodist
7,Chelmsford Drives,Kathleen,Patterson,30,Head,Single,Female,Regulatory affairs officer,None,None
7,Chelmsford Drives,Elaine,Knight,62,None,Single,Female,Technical brewer,None,None
7,Chelmsford Drives,Helen,Parsons,56,None,Single,Female,Chief Strategy Officer,None,None
7,Chelmsford Drives,Jay,Wright,31,None,Single,Male,Set designer,None,Catholic
8,Chelmsford Drives,Amber,Chapman,45,Head,Married,Female,Volunteer coordinator,None,Christian
8,Chelmsford Drives,Antony,Chapman,52,Husband,Married,Male,Oncologist,None,Christian
8,Chelmsford Drives,Diana,Chapman,28,Daughter,Single,Female,Conference centre manager,None,Christian
8,Chelmsford Drives,Annette,Chapman,27,Daughter,Single,Female,Unemployed,None,Christian
8,Chelmsford Drives,Kerry,Chapman,0,Daughter,NA,Female,Child,None,NA
9,Chelmsford Drives,Barry,Phillips,77,Head,Married,Male,Retired Mechanical engineer,None,Christian
9,Chelmsford Drives,Jenna,Phillips,73,Wife,Married,Female,Retired Stage manager,None,Christian
9,Chelmsford Drives,Megan,Phillips,21,Granddaughter,Single,Female,University Student,None,Christian
9,Chelmsford Drives,Lawrence,Woods,20,Grandson,Single,Male,University Student,None,Christian
10,Chelmsford Drives,Jeremy,Humphries,49,Head,Divorced,Male,Research scientist (maths),None,None
10,Chelmsford Drives,Marcus,Humphries,4,Son,NA,Male,Child,None,NA
11,Chelmsford Drives,Lorraine,Morris,67,Head,Married,Female,Art gallery manager,None,Christian
11,Chelmsford Drives,Declan,Morris,71,Husband,Married,Male,"Retired Administrator, Civil Service",None,Christian
11,Chelmsford Drives,Sandra,Morris,42,Daughter,Single,Female,"Therapist, nutritional",None,None
11,Chelmsford Drives,David,Morris,40,Son,Divorced,Male,Clinical cytogeneticist,None,Christian
12,Chelmsford Drives,Sara,Bryant,24,Head,Single,Female,Barrister's clerk,None,None
12,Chelmsford Drives,Abigail,Williams,18,None,Single,Female,Student,None,NA
12,Chelmsford Drives,Hugh,Richardson,51,None,Single,Male,Musician,None,Christian
13,Chelmsford Drives,Stacey,Wilson,29,Head,Single,Female,Unemployed,None,Christian
13,Chelmsford Drives,Nicola,Wilson,0,Daughter,NA,Female,Child,None,NA
13,Chelmsford Drives,Stanley,Williams,60,Lodger,Single,Male,Radiation protection practitioner,None,Catholic
13,Chelmsford Drives,Luke,Nelson,44,Lodger,Single,Male,Social researcher,None,None
13,Chelmsford Drives,Leon,Davies,44,Lodger,Single,Male,Phytotherapist,None,Christian
13,Chelmsford Drives,Roy,Stephens,42,Lodger,Single,Male,Tax inspector,None,Catholic
1,Stone Burg,Gary,Duncan,61,Head,Single,Male,Cartographer,None,None
2,Stone Burg,Joe,King,24,Head,Single,Male,Ophthalmologist,None,Muslim
2,Stone Burg,Bethan,Taylor,23,Partner,Single,Female,"Doctor, hospital",None,Muslim
2,Stone Burg,Chloe,King,0,Daughter,NA,Female,Child,None,NA
3,Stone Burg,Aimee,Carter,91,Head,Widowed,Female,Retired Music therapist,None,Christian
4,Stone Burg,Lesley,Sinclair,65,Head,Widowed,Female,Mechanical engineer,None,None
5,Stone Burg,Lynda,Edwards,54,Head,Single,Female,Public relations account executive,None,None
6,Stone Burg,Leah,Smith,62,Head,Divorced,Female,Contractor,None,Christian
6,Stone Burg,Jason,Smith,16,Son,NA,Male,Student,None,NA
7,Stone Burg,Jayne,Shepherd,37,Head,Married,Female,Telecommunications researcher,None,Catholic
7,Stone Burg,Elliot,Shepherd,43,Husband,Married,Male,Herbalist,None,None
7,Stone Burg,Lauren,Shepherd,3,Daughter,NA,Female,Child,None,NA
8,Stone Burg,Gail,Wilson,29,Head,Married,Female,Environmental consultant,None,Christian
8,Stone Burg,Sean,Wilson,33,Husband,Married,Male,"Designer, jewellery",None,Christian
8,Stone Burg,Leon,Wilson,13,Son,NA,Male,Student,None,NA
9,Stone Burg,Glen,Fletcher,56,Head,Divorced,Male,Biomedical scientist,None,Catholic
10,Stone Burg,Teresa,Banks,48,Head,Single,Female,Colour technologist,None,Catholic
10,Stone Burg,Craig,Robertson,48,Partner,Single,Male,Fashion designer,None,None
11,Stone Burg,Hayley,Freeman,41,Head,Single,Female,"Research officer, government",None,None
11,Stone Burg,Damian,Lee,42,Partner,Single,Male,"Librarian, public",None,None
12,Stone Burg,Philip,Cross,48,Head,Single,Male,Leisure centre manager,None,Catholic
13,Stone Burg,David,Newman,53,Head,Single,Male,Information officer,None,None
13,Stone Burg,Gemma,Lee,25,Cousin,Divorced,Female,Unemployed,None,None
14,Stone Burg,Alan,Martin,41,Head,Divorced,Male,Television/film/video producer,None,Catholic
15,Stone Burg,Shirley,Todd,66,Head,Single,Female,Chartered accountant,None,Catholic
16,Stone Burg,Beverley,Brown,62,Head,Divorced,Female,Unemployed,None,Methodist
17,Stone Burg,Andrew,Miller,77,Head,Widowed,Male,Retired Teaching laboratory technician,None,None
18,Stone Burg,Diane,Connor,86,Head,Divorced,Female,Retired Aid worker,None,Christian
19,Stone Burg,Joshua,Thompson,62,Head,Single,Male,Mental health nurse,None,Christian
20,Stone Burg,Rachel,Sutton,73,Head,Widowed,Female,Retired Automotive engineer,None,Christian
21,Stone Burg,Frances,Lambert,83,Head,Widowed,Female,Retired Retail merchandiser,None,None
22,Stone Burg,Jordan,Patel,49,Head,Single,Male,Manufacturing systems engineer,None,Catholic
23,Stone Burg,Elaine,Lawrence,61,Head,Single,Female,"Engineer, civil (contracting)",None,Christian
24,Stone Burg,Claire,Moore,33,Head,Married,Female,Unemployed,None,None
24,Stone Burg,Ross,Moore,35,Husband,Married,Male,Network engineer,None,None
25,Stone Burg,Steven,Davies,88,Head,Widowed,Male,Retired Mechanical engineer,None,Christian
26,Stone Burg,Edward,Reeves,38,Head,Married,Male,"Teacher, English as a foreign language",None,None
26,Stone Burg,Francesca,Reeves,35,Wife,Married,Female,Tax adviser,None,None
27,Stone Burg,Justin,Porter,81,Head,Married,Male,"Retired Scientist, forensic",None,Catholic
27,Stone Burg,Eileen,Porter,72,Wife,Married,Female,"Retired Therapist, nutritional",None,Catholic
28,Stone Burg,Joyce,White,41,Head,Single,Female,Unemployed,None,Catholic
28,Stone Burg,Hannah,White,12,Daughter,NA,Female,Student,None,NA
29,Stone Burg,Mary,Thompson,38,Head,Single,Female,"Social research officer, government",None,None
30,Stone Burg,Amelia,Hughes,38,Head,Divorced,Female,Unemployed,None,Methodist
30,Stone Burg,Chelsea,Hughes,7,Daughter,NA,Female,Student,None,NA
30,Stone Burg,Alexandra,Hughes,3,Daughter,NA,Female,Child,None,NA
1,Hunter Street,Frank,Lloyd,49,Head,Married,Male,Retail manager,None,Christian
1,Hunter Street,Tina,Lloyd,48,Wife,Married,Female,Fisheries officer,None,Christian
2,Hunter Street,Marian,Rogers,57,Head,Married,Female,Education administrator,None,None
2,Hunter Street,Jay,Rogers,59,Husband,Married,Male,Unemployed,None,None
2,Hunter Street,Jay,Rogers,15,Son,NA,Male,Student,None,NA
3,Hunter Street,Helen,Lane,60,Head,Single,Female,Mechanical engineer,None,Methodist
3,Hunter Street,Ricky,Lane,29,Son,Single,Male,Sports coach,None,Methodist
3,Hunter Street,Katie,Graham,24,Daughter,Single,Female,Oncologist,None,Methodist
3,Hunter Street,Helen,Graham,22,Daughter,Single,Female,University Student,None,Methodist
4,Hunter Street,Andrew,Akhtar,34,Head,Single,Male,"Engineer, automotive",None,None
4,Hunter Street,Stacey,Matthews,35,Partner,Single,Female,Film/video editor,None,None
5,Hunter Street,Victoria,Cox,53,Head,Single,Female,"Surveyor, building control",None,Christian
5,Hunter Street,Carly,Cox,16,Daughter,NA,Female,Student,None,NA
6,Hunter Street,Jay,Barnes,52,Head,Married,Male,Print production planner,None,Catholic
6,Hunter Street,Lynda,Barnes,54,Wife,Married,Female,Adult guidance worker,None,Catholic
7,Hunter Street,Anna,Holt-Tucker,41,Head,Single,Female,"Buyer, retail",None,None
7,Hunter Street,Matthew,Holt-Tucker,16,Son,NA,Male,Student,None,NA
7,Hunter Street,Stephen,Holt-Tucker,5,Son,NA,Male,Student,None,NA
7,Hunter Street,Jodie,Holt-Tucker,5,Daughter,NA,Female,Student,None,NA
7,Hunter Street,Melanie,Holt-Tucker,4,Daughter,NA,Female,Child,None,NA
8,Hunter Street,Stephanie,Owen,55,Head,Single,Female,Veterinary surgeon,None,Methodist
8,Hunter Street,Owen,Jackson,53,Partner,Single,Male,"Geologist, wellsite",None,None
9,Hunter Street,Joan,Bell,48,Head,Single,Female,"Surveyor, quantity",None,None
9,Hunter Street,Rachael,Bell,10,Daughter,NA,Female,Student,None,NA
10,Hunter Street,Adam,Wood,45,Head,Married,Male,Music tutor,None,Catholic
10,Hunter Street,Harriet,Wood,46,Wife,Married,Female,Computer games developer,None,Catholic
11,Hunter Street,Lydia,Hammond,62,Head,Single,Female,Merchant navy officer,None,None
11,Hunter Street,Simon,Mills,64,Partner,Single,Male,Unemployed,None,None
11,Hunter Street,Kevin,Hammond,29,Son,Single,Male,Acupuncturist,None,None
11,Hunter Street,Jasmine,Hammond,14,Daughter,NA,Female,Student,None,NA
12,Hunter Street,Michelle,Metcalfe,43,Head,Single,Female,Unemployed,None,None
12,Hunter Street,Mandy,Metcalfe,12,Daughter,NA,Female,Student,None,NA
13,Hunter Street,Janice,Noble,68,Head,Married,Female,Retired Bookseller,None,Catholic
13,Hunter Street,Gareth,Noble,69,Husband,Married,Male,Retired Visual merchandiser,None,Catholic
13,Hunter Street,Alan,Noble,35,Son,Single,Male,Translator,None,Catholic
13,Hunter Street,Edward,Noble,35,Son,Single,Male,IT sales professional,None,Catholic
14,Hunter Street,Tony,Davies,52,Head,Single,Male,"Runner, broadcasting/film/video",None,Christian
14,Hunter Street,Jennifer,Jones,52,Partner,Single,Female,Automotive engineer,None,Christian
15,Hunter Street,Derek,Mills,41,Head,Married,Male,Research scientist (medical),None,Christian
15,Hunter Street,Kathleen,Mills,40,Wife,Married,Female,Systems developer,None,None
15,Hunter Street,Valerie,Mills,2,Daughter,NA,Female,Child,None,NA
16,Hunter Street,Jacqueline,Cooke,37,Head,Divorced,Female,Facilities manager,None,Catholic
17,Hunter Street,Danielle,Hayes,43,Head,Single,Female,"Sales professional, IT",None,None
17,Hunter Street,Michael,Hayes,5,Son,NA,Male,Student,None,NA
18,Hunter Street,Christopher,Lee,24,Head,Single,Male,Software engineer,None,None
18,Hunter Street,Maureen,Kay,22,Partner,Single,Female,University Student,None,None
19,Hunter Street,Samuel,Harvey,81,Head,Married,Male,Retired Commercial art gallery manager,None,Catholic
19,Hunter Street,Jean,Harvey,79,Wife,Married,Female,Retired Control and instrumentation engineer,None,Catholic
20,Hunter Street,Karl,Grant,53,Head,Married,Male,Field seismologist,None,Methodist
20,Hunter Street,Chelsea,Grant,53,Wife,Married,Female,Careers adviser,None,None
21,Hunter Street,Diane,Barrett-Green,86,Head,Married,Female,"Retired Therapist, sports",None,None
21,Hunter Street,Abdul,Barrett-Green,88,Husband,Married,Male,"Retired Editor, commissioning",Physical Disability,None
22,Hunter Street,Lisa,Turner,29,Head,Divorced,Female,Unemployed,None,Methodist
22,Hunter Street,Jason,Turner,1,Son,NA,Male,Child,None,NA
22,Hunter Street,Lee,Turner,1,Son,NA,Male,Child,None,NA
22,Hunter Street,Stephen,Turner,0,Son,NA,Male,Child,None,NA
23,Hunter Street,Yvonne,Willis,31,Head,Single,Female,Pharmacologist,None,None
23,Hunter Street,Rhys,Watson,41,None,Single,Male,Hospital pharmacist,None,None
23,Hunter Street,Roy,Lewis,35,None,Single,Male,"Scientist, physiological",None,None
23,Hunter Street,Peter,Reeves,56,None,Single,Male,Exercise physiologist,None,Christian
23,Hunter Street,Sara,Reed,50,None,Single,Female,Environmental health practitioner,None,None
23,Hunter Street,Rhys,Roberts,33,None,Single,Male,Cabin crew,None,Christian
24,Hunter Street,Damian,Shaw,37,Head,Single,Male,"Designer, fashion/clothing",None,None
25,Hunter Street,Katy,Green,41,Head,Divorced,Female,"Loss adjuster, chartered",None,Christian
25,Hunter Street,Jacqueline,Green,5,Daughter,NA,Female,Student,None,NA
26,Hunter Street,Zoe,Butler,50,Head,Married,Female,Adult guidance worker,None,None
26,Hunter Street,Danny,Butler,53,Husband,Married,Male,"Psychologist, occupational",None,None
26,Hunter Street,Patrick,Butler,23,Son,Single,Male,"Embryologist, clinical",None,None
26,Hunter Street,Mohammad,Butler,5,Son,NA,Male,Student,None,NA
27,Hunter Street,Kayleigh,Mahmood,45,Head,Single,Female,Unemployed,None,Christian
27,Hunter Street,Elizabeth,Mahmood,6,Daughter,NA,Female,Student,None,NA
28,Hunter Street,Joan,Archer,46,Head,Divorced,Female,"Sales professional, IT",Blind,Catholic
28,Hunter Street,Darren,Archer,15,Son,NA,Male,Student,None,NA
29,Hunter Street,Georgina,Butler,51,Head,Married,Female,"Loss adjuster, chartered",None,Christian
29,Hunter Street,Douglas,Butler,58,Husband,Married,Male,Advertising copywriter,None,Christian
29,Hunter Street,John,Butler,20,Son,Single,Male,University Student,None,Christian
29,Hunter Street,Lucy,Butler,16,Daughter,NA,Female,Student,None,NA
30,Hunter Street,Donald,Tucker,43,Head,Single,Male,Education administrator,None,Christian
30,Hunter Street,Shannon,Hall,40,Partner,Single,Female,Intelligence analyst,None,Christian
31,Hunter Street,Ellie,Thomas,45,Head,Single,Female,Unemployed,None,None
31,Hunter Street,Kimberley,Thomas,1,Daughter,NA,Female,Child,None,NA
32,Hunter Street,Holly,Marsh,37,Head,Married,Female,"Surveyor, building control",None,Catholic
32,Hunter Street,Leon,Marsh,33,Husband,Married,Male,"Sound technician, broadcasting/film/video",None,Catholic
32,Hunter Street,Kelly,Marsh,10,Daughter,NA,Female,Student,None,NA
1,Gloucester Spur,Patricia,Rogers,40,Head,Married,Female,"Designer, graphic",None,Catholic
1,Gloucester Spur,Rhys,Rogers,41,Husband,Married,Male,"Engineer, materials",None,None
2,Gloucester Spur,Emma,Harding,58,Head,Divorced,Female,Tax inspector,None,Christian
2,Gloucester Spur,Denise,Harding,30,Daughter,Single,Female,"Librarian, public",None,None
2,Gloucester Spur,Lauren,Harding,27,Daughter,Divorced,Female,"Psychologist, occupational",None,Christian
2,Gloucester Spur,Charlie,Harding,23,Son,Single,Male,Commissioning editor,None,Christian
3,Gloucester Spur,Joyce,Powell,55,Head,Married,Female,Illustrator,None,None
3,Gloucester Spur,Daniel,Powell,59,Husband,Married,Male,Community education officer,None,None
3,Gloucester Spur,Geoffrey,Pickering,19,Step-Son,Single,Male,University Student,None,None
3,Gloucester Spur,Maria,Pickering,17,Step-Daughter,NA,Female,Student,None,NA
3,Gloucester Spur,Maria,Pickering,13,Step-Daughter,NA,Female,Student,None,NA
4,Gloucester Spur,Natalie,Gregory,52,Head,Married,Female,Metallurgist,None,Christian
4,Gloucester Spur,Terence,Gregory,54,Husband,Married,Male,Exercise physiologist,None,Christian
4,Gloucester Spur,Sylvia,Gregory,24,Daughter,Widowed,Female,Print production planner,None,Christian
4,Gloucester Spur,Marion,Gregory,21,Daughter,Single,Female,Professor Emeritus,None,None
5,Gloucester Spur,Frank,Howells,45,Head,Single,Male,Unemployed,None,Christian
6,Gloucester Spur,Lynne,Turner,47,Head,Married,Female,"Geologist, wellsite",None,Christian
6,Gloucester Spur,Cameron,Turner,51,Husband,Married,Male,Firefighter,None,None
6,Gloucester Spur,Edward,Turner,8,Son,NA,Male,Student,None,NA
1,Thamespick Lane,Abigail,Allen,63,Head,Married,Female,"Journalist, newspaper",None,Christian
1,Thamespick Lane,Raymond,Allen,66,Husband,Married,Male,Bookseller,None,Christian
1,Thamespick Lane,Norman,Allen,29,Son,Divorced,Male,Land,None,None
1,Thamespick Lane,Ronald,Allen,27,Son,Single,Male,Marketing executive,None,None
2,Thamespick Lane,Ellie,Mason,53,Head,Divorced,Female,Event organiser,None,Methodist
2,Thamespick Lane,Barry,Mason,17,Son,NA,Male,Student,None,NA
3,Thamespick Lane,Charlene,Robinson,50,Head,Married,Female,Trade mark attorney,None,None
3,Thamespick Lane,Stuart,Robinson,50,Husband,Married,Male,Unemployed,None,None
4,Thamespick Lane,Sean,Barker,33,Head,Single,Male,Cartographer,None,None
4,Thamespick Lane,Rita,Knowles,31,Partner,Single,Female,"Designer, fashion/clothing",None,None
5,Thamespick Lane,Sylvia,Dunn,49,Head,Married,Female,"Scientist, product/process development",None,Methodist
5,Thamespick Lane,Stuart,Dunn,52,Husband,Married,Male,Architect,None,Methodist
5,Thamespick Lane,Kelly,Dunn,17,Daughter,NA,Female,Student,None,NA
5,Thamespick Lane,Katie,Dunn,14,Daughter,NA,Female,Student,None,NA
1,Lewis Hills,Glen,Willis,61,Head,Married,Male,Food technologist,None,Catholic
1,Lewis Hills,Karen,Willis,59,Wife,Married,Female,"Engineer, electronics",None,None
2,Lewis Hills,Jacob,Webster,33,Head,Married,Male,Unemployed,None,Methodist
2,Lewis Hills,Megan,Webster,30,Wife,Married,Female,Manufacturing engineer,None,Methodist
2,Lewis Hills,Caroline,Webster,3,Daughter,NA,Female,Child,None,NA
3,Lewis Hills,Laura,Sheppard,47,Head,Married,Female,Colour technologist,None,None
3,Lewis Hills,Ronald,Sheppard,49,Husband,Married,Male,"Therapist, horticultural",None,None
3,Lewis Hills,Georgina,Sheppard,24,Daughter,Single,Female,"Production assistant, radio",None,None
3,Lewis Hills,Jason,Sheppard,20,Son,Single,Male,University Student,None,None
4,Lewis Hills,Marc,Wilson,39,Head,Married,Male,Science writer,None,None
4,Lewis Hills,Suzanne,Wilson,33,Wife,Married,Female,"Therapist, occupational",None,None
4,Lewis Hills,Ben,Wilson,16,Son,NA,Male,Student,None,NA
4,Lewis Hills,Susan,Wilson,16,Daughter,NA,Female,Student,None,NA
4,Lewis Hills,Cameron,Wilson,14,Son,NA,Male,Student,None,NA
5,Lewis Hills,Megan,Kerr,56,Head,Married,Female,Housing manager/officer,None,Catholic
5,Lewis Hills,Mohamed,Kerr,58,Husband,Married,Male,Private music teacher,None,Catholic
5,Lewis Hills,Dean,Kerr,17,Son,NA,Male,Student,None,NA
6,Lewis Hills,Lisa,Lawrence,66,Head,Widowed,Female,Visual merchandiser,None,Christian
6,Lewis Hills,Hilary,Lawrence,31,Daughter,Divorced,Female,Dancer,None,Christian
6,Lewis Hills,Helen,Lawrence,29,Daughter,Single,Female,Speech and language therapist,None,Christian
7,Lewis Hills,Gillian,Bray,46,Head,Married,Female,Commercial art gallery manager,None,Catholic
7,Lewis Hills,Ryan,Bray,54,Husband,Married,Male,Amenity horticulturist,None,None
7,Lewis Hills,Emma,Bray,16,Daughter,NA,Female,Student,None,NA
7,Lewis Hills,Ricky,Bray,13,Son,NA,Male,Student,None,NA
7,Lewis Hills,Rachael,Bray,9,Daughter,NA,Female,Student,None,NA
8,Lewis Hills,Jayne,Spencer,27,Head,Single,Female,Network engineer,None,Catholic
8,Lewis Hills,Joseph,Spencer,10,Son,NA,Male,Student,None,NA
8,Lewis Hills,Molly,Spencer,4,Daughter,NA,Female,Child,None,NA
8,Lewis Hills,Denis,Spencer,2,Son,NA,Male,Child,None,NA
8,Lewis Hills,Ian,Spencer,0,Son,NA,Male,Child,None,NA
9,Lewis Hills,Rachel,Smith,38,Head,Single,Female,Unemployed,None,Christian
9,Lewis Hills,Fiona,Kent,63,None,Single,Female,Customer service manager,None,Christian
9,Lewis Hills,Cheryl,Walton,61,None,Single,Female,Commercial art gallery manager,None,None
10,Lewis Hills,Rita,Watson,49,Head,Single,Female,Unemployed,None,Christian
10,Lewis Hills,Michael,Watson,32,Son,Single,Male,Race relations officer,None,None
10,Lewis Hills,Robert,Watson,31,Son,Single,Male,Energy manager,None,None
11,Lewis Hills,Ashleigh,King,52,Head,Married,Female,Barista,None,Christian
11,Lewis Hills,Max,King,54,Husband,Married,Male,Firefighter,None,None
11,Lewis Hills,Kim,King,9,Daughter,NA,Female,Student,None,NA
11,Lewis Hills,Louise,Rogers,6,Daughter,NA,Female,Student,None,NA
12,Lewis Hills,Kathryn,Powell,55,Head,Married,Female,"Nurse, learning disability",None,Methodist
12,Lewis Hills,Glen,Powell,56,Husband,Married,Male,Hydrogeologist,None,Methodist
1,Leedstag Street,Sheila,Dean,64,Head,Married,Female,"Engineer, aeronautical",None,Christian
1,Leedstag Street,Anthony,Dean,67,Husband,Married,Male,"Sound technician, broadcasting/film/video",None,Christian
1,Leedstag Street,Lorraine,Dean,17,Daughter,NA,Female,Student,None,NA
1,Leedstag Street,Trevor,Dean,14,Son,NA,Male,Student,None,NA
1,Leedstag Street,Bethany,Dean,10,Daughter,NA,Female,Student,None,NA
2,Leedstag Street,Elizabeth,Jones,41,Head,Married,Female,Mechanical engineer,None,Catholic
2,Leedstag Street,Rhys,Jones,45,Husband,Married,Male,Surgeon,None,None
2,Leedstag Street,Hilary,Phillips,54,None,Married,Female,Horticultural consultant,None,None
2,Leedstag Street,Toby,Phillips,50,None,Married,Male,"Therapist, art",None,None
3,Leedstag Street,Elizabeth,Roberts,45,Head,Single,Female,Charity fundraiser,None,Sikh
3,Leedstag Street,Ian,Roberts,15,Son,NA,Male,Student,None,NA
3,Leedstag Street,Christian,Roberts,9,Son,NA,Male,Student,None,NA
3,Leedstag Street,Rosie,Roberts,4,Daughter,NA,Female,Child,None,NA
3,Leedstag Street,Roger,Roberts,4,Son,NA,Male,Child,None,NA
4,Leedstag Street,Ryan,Woods,20,Head,Single,Male,University Student,None,None
4,Leedstag Street,Zoe,Wood,22,None,Single,Female,University Student,None,Muslim
4,Leedstag Street,Toby,Smith,22,None,Single,Male,University Student,None,Christian
5,Leedstag Street,Georgia,Craig,36,Head,Married,Female,Unemployed,None,Christian
5,Leedstag Street,Marc,Craig,33,Husband,Married,Male,"Surveyor, quantity",None,Christian
5,Leedstag Street,Gail,Craig,15,Daughter,NA,Female,Student,None,NA
6,Leedstag Street,Elliot,Harris,59,Head,Single,Male,Research scientist (life sciences),None,Christian
6,Leedstag Street,Anthony,Dickinson,41,None,Single,Male,"Scientist, research (maths)",None,Catholic
6,Leedstag Street,Pauline,Pearce,42,None,Single,Female,Emergency planning/management officer,None,Methodist
7,Leedstag Street,Bruce,Sinclair,62,Head,Divorced,Male,"Administrator, education",None,None
8,Leedstag Street,Jacqueline,Brooks,37,Head,Married,Female,Sports development officer,None,None
8,Leedstag Street,Gary,Brooks,38,Husband,Married,Male,"Scientist, product/process development",None,None
8,Leedstag Street,Diana,Brooks,6,Daughter,NA,Female,Student,None,NA
8,Leedstag Street,Leon,Fisher-Brooks,3,Son,NA,Male,Child,None,NA
9,Leedstag Street,Anne,Blake,31,Head,Single,Female,Astronomer,None,Catholic
9,Leedstag Street,Marcus,Howard,59,Lodger,Single,Male,Magazine features editor,None,Christian
9,Leedstag Street,Charlene,Cooper,59,Sibling,Single,Female,Unemployed,None,None
10,Leedstag Street,Clare,Smart,40,Head,Married,Female,Media buyer,None,None
10,Leedstag Street,Sean,Smart,38,Husband,Married,Male,"Engineer, technical sales",None,None
10,Leedstag Street,Jennifer,Smart,0,Daughter,NA,Female,Child,None,NA
11,Leedstag Street,Dennis,Williams,24,Head,Married,Male,Unemployed,None,Christian
11,Leedstag Street,Alison,Williams,23,Wife,Married,Female,Music therapist,None,Christian
12,Leedstag Street,Kayleigh,Newman,30,Head,Married,Female,Biomedical engineer,None,Catholic
12,Leedstag Street,Clifford,Newman,33,Husband,Married,Male,"Therapist, nutritional",None,Catholic
12,Leedstag Street,Lucy,Campbell,59,Lodger,Divorced,Female,"Engineer, drilling",None,Christian
13,Leedstag Street,Rosie,Richards,44,Head,Married,Female,Unemployed,None,Catholic
13,Leedstag Street,Steven,Richards,46,Husband,Married,Male,Clinical embryologist,None,Catholic
13,Leedstag Street,Chloe,Richards,14,Daughter,NA,Female,Student,None,NA
13,Leedstag Street,George,Richards,12,Son,NA,Male,Student,None,NA
13,Leedstag Street,Wayne,Richards,9,Son,NA,Male,Student,None,NA
14,Leedstag Street,Janice,Taylor,38,Head,Single,Female,Unemployed,None,Christian
14,Leedstag Street,Scott,Dale,9,Son,NA,Male,Student,None,NA
14,Leedstag Street,Clifford,Dale,7,Adopted Son,NA,Male,Student,None,NA
15,Leedstag Street,Sian,Day,64,Head,Married,Female,Marine scientist,None,Christian
15,Leedstag Street,Jeremy,Day,68,Husband,Married,Male,Retired Associate Professor,None,Christian
15,Leedstag Street,Tom,Day,26,Son,Widowed,Male,Printmaker,None,Christian
16,Leedstag Street,Catherine,Smith,57,Head,Single,Female,Broadcast presenter,None,Catholic
16,Leedstag Street,Luke,Smith,22,Son,Single,Male,University Student,None,None
16,Leedstag Street,Gerard,Akhtar-Smith,17,Son,NA,Male,Student,None,NA
17,Leedstag Street,Sophie,Harding,32,Head,Married,Female,Financial trader,None,Muslim
17,Leedstag Street,Callum,Harding,34,Husband,Married,Male,Sports coach,None,Muslim
17,Leedstag Street,Alexander,Harding,11,Son,NA,Male,Student,None,NA
18,Leedstag Street,Alexandra,Moore,42,Head,Married,Female,Science writer,None,None
18,Leedstag Street,Owen,Moore,46,Husband,Married,Male,Audiological scientist,None,None
18,Leedstag Street,Lynne,Moore,10,Daughter,NA,Female,Student,None,NA
19,Leedstag Street,Dorothy,Burns,102,Head,Widowed,Female,Retired Operations geologist,None,Methodist
20,Leedstag Street,Leah,Porter,51,Head,Married,Female,Unemployed,None,Christian
20,Leedstag Street,Martin,Porter,55,Husband,Married,Male,"Solicitor, Scotland",None,Christian
20,Leedstag Street,Jessica,Porter,16,Daughter,NA,Female,Student,None,NA
21,Leedstag Street,Michelle,Murphy,48,Head,Married,Female,Unemployed,None,None
21,Leedstag Street,Darren,Murphy,53,Husband,Married,Male,Corporate treasurer,None,None
21,Leedstag Street,Hayley,Murphy,28,Daughter,Single,Female,Telecommunications researcher,None,None
22,Leedstag Street,Jennifer,Allan,51,Head,Married,Female,Equality and diversity officer,None,None
22,Leedstag Street,Kieran,Allan,54,Husband,Married,Male,Unemployed,None,None
22,Leedstag Street,Bruce,Allan,28,Son,Single,Male,Product manager,None,None
23,Leedstag Street,Georgina,Butler,73,Head,Widowed,Female,Retired Environmental manager,None,Christian
23,Leedstag Street,Craig,Butler,35,Son,Single,Male,Health visitor,None,Christian
23,Leedstag Street,Julie,Butler,33,Daughter,Single,Female,Environmental manager,None,None
23,Leedstag Street,Shannon,Butler,30,Daughter,Single,Female,"Psychologist, sport and exercise",None,None
23,Leedstag Street,Carl,Butler,26,Son,Single,Male,Pensions consultant,None,None
24,Leedstag Street,Leanne,Davidson,61,Head,Married,Female,Barista,None,None
24,Leedstag Street,Joseph,Davidson,61,Husband,Married,Male,Holiday representative,None,None
24,Leedstag Street,Heather,Davidson,22,Daughter,Divorced,Female,University Student,None,Catholic
24,Leedstag Street,Aaron,Davidson,4,Adopted Son,NA,Male,Child,None,NA
25,Leedstag Street,Kelly,Walsh,57,Head,Married,Female,Press photographer,None,Methodist
25,Leedstag Street,Dylan,Walsh-John,59,Husband,Married,Male,Higher education careers adviser,None,Methodist
25,Leedstag Street,Gillian,Walsh-John,31,Daughter,Single,Female,Economist,None,None
26,Leedstag Street,Joshua,Henderson,71,Head,Married,Male,"Retired Producer, television/film/video",None,Methodist
